#instr,trace_type,trace_name,NTH-ALL-1x,NTH-NOALL,NTH-NOL2C,NTH-NOL2C-NOLLC,NTH-NOLLC
1M,clientservertraces,client_001.champsimtrace.xz,1.00206,0.701933,0.941006,0.665958,0.993966
1M,clientservertraces,client_002.champsimtrace.xz,0.758113,0.43549,0.711595,0.510657,0.710894
1M,clientservertraces,client_003.champsimtrace.xz,1.35246,1.07052,1.28417,0.985386,1.3328
1M,clientservertraces,client_004.champsimtrace.xz,0.681547,0.380069,0.641202,0.472349,0.656077
1M,clientservertraces,client_005.champsimtrace.xz,0.781288,0.351534,0.74614,0.539569,0.68379
1M,clientservertraces,client_006.champsimtrace.xz,0.61195,0.382092,0.59842,0.530272,0.586719
1M,clientservertraces,client_007.champsimtrace.xz,0.807307,0.464908,0.760501,0.574995,0.80223
1M,clientservertraces,client_008.champsimtrace.xz,0.892774,0.426516,0.813523,0.510912,0.749108
1M,clientservertraces,server_001.champsimtrace.xz,0.859837,0.627958,0.833163,0.637484,0.797768
1M,clientservertraces,server_003.champsimtrace.xz,0.533597,0.223829,0.50404,0.261452,0.321013
1M,clientservertraces,server_004.champsimtrace.xz,0.653053,0.251065,0.604347,0.274765,0.33637
1M,clientservertraces,server_009.champsimtrace.xz,0.636517,0.279804,0.597966,0.307517,0.39061
1M,clientservertraces,server_010.champsimtrace.xz,0.716427,0.270737,0.665759,0.302691,0.385556
1M,clientservertraces,server_011.champsimtrace.xz,0.614135,0.287358,0.576375,0.346941,0.438754
1M,clientservertraces,server_012.champsimtrace.xz,0.667659,0.308545,0.623066,0.33586,0.423757
1M,clientservertraces,server_013.champsimtrace.xz,0.664079,0.261301,0.626032,0.290843,0.349481
1M,clientservertraces,server_014.champsimtrace.xz,1.32086,1.29796,1.30588,1.28787,1.31539
1M,clientservertraces,server_016.champsimtrace.xz,0.777073,0.392015,0.688333,0.36905,0.590032
1M,clientservertraces,server_017.champsimtrace.xz,0.384656,0.318023,0.357916,0.331657,0.343634
1M,clientservertraces,server_018.champsimtrace.xz,0.365817,0.311614,0.345209,0.322536,0.342741
1M,clientservertraces,server_019.champsimtrace.xz,0.395839,0.330015,0.365876,0.340016,0.357632
1M,clientservertraces,server_020.champsimtrace.xz,0.377833,0.316634,0.354989,0.33186,0.347242
1M,clientservertraces,server_021.champsimtrace.xz,0.363766,0.310489,0.341788,0.321703,0.33723
1M,clientservertraces,server_022.champsimtrace.xz,0.336947,0.291363,0.317583,0.302741,0.305843
1M,clientservertraces,server_023.champsimtrace.xz,0.798226,0.427453,0.717369,0.395055,0.607477
1M,clientservertraces,server_024.champsimtrace.xz,0.801578,0.436224,0.719033,0.393253,0.616495
1M,clientservertraces,server_025.champsimtrace.xz,0.800808,0.425178,0.719534,0.394015,0.628687
1M,clientservertraces,server_026.champsimtrace.xz,0.778366,0.409785,0.702016,0.397394,0.598728
1M,clientservertraces,server_027.champsimtrace.xz,0.789265,0.425357,0.705999,0.398204,0.611824
1M,clientservertraces,server_028.champsimtrace.xz,0.759889,0.498343,0.713367,0.498034,0.671205
1M,clientservertraces,server_029.champsimtrace.xz,0.75223,0.443763,0.700525,0.44327,0.621534
1M,clientservertraces,server_030.champsimtrace.xz,0.748025,0.480327,0.699317,0.486299,0.664574
1M,clientservertraces,server_031.champsimtrace.xz,0.735458,0.485216,0.688719,0.481753,0.64753
1M,clientservertraces,server_032.champsimtrace.xz,0.781317,0.532599,0.734601,0.510472,0.721636
1M,clientservertraces,server_033.champsimtrace.xz,0.740891,0.580365,0.727742,0.646503,0.739435
1M,clientservertraces,server_034.champsimtrace.xz,0.844503,0.642659,0.822255,0.684544,0.8403
1M,clientservertraces,server_035.champsimtrace.xz,0.747548,0.588738,0.736061,0.655218,0.741706
1M,clientservertraces,server_037.champsimtrace.xz,0.841799,0.698045,0.827175,0.748224,0.830151
1M,clientservertraces,server_038.champsimtrace.xz,0.790618,0.634635,0.767964,0.672659,0.779368
1M,spec17,600.perlbench_s-570B.champsimtrace.xz,1.31334,1.09398,1.31128,1.29423,1.31334
1M,spec17,602.gcc_s-1850B.champsimtrace.xz,0.282927,0.282927,0.282927,0.282927,0.282927
1M,spec17,602.gcc_s-2226B.champsimtrace.xz,0.107422,0.107422,0.107422,0.107422,0.107422
1M,spec17,602.gcc_s-734B.champsimtrace.xz,0.483069,0.483069,0.483069,0.483069,0.483069
1M,spec17,603.bwaves_s-1740B.champsimtrace.xz,0.748223,0.748223,0.748223,0.748223,0.748223
1M,spec17,603.bwaves_s-2609B.champsimtrace.xz,0.739797,0.737982,0.739797,0.739797,0.739797
1M,spec17,603.bwaves_s-2931B.champsimtrace.xz,1.0145,1.01169,1.0145,1.0145,1.0145
1M,spec17,603.bwaves_s-891B.champsimtrace.xz,0.36906,0.368421,0.36906,0.36906,0.36906
1M,spec17,605.mcf_s-1152B.champsimtrace.xz,0.33236,0.331831,0.33236,0.33236,0.33236
1M,spec17,605.mcf_s-1536B.champsimtrace.xz,0.160876,0.160863,0.160876,0.160876,0.160876
1M,spec17,605.mcf_s-1554B.champsimtrace.xz,0.143084,0.14299,0.143084,0.143084,0.143084
1M,spec17,605.mcf_s-1644B.champsimtrace.xz,0.148654,0.148526,0.148654,0.148654,0.148654
1M,spec17,605.mcf_s-472B.champsimtrace.xz,0.236685,0.236617,0.236688,0.236688,0.236685
1M,spec17,605.mcf_s-484B.champsimtrace.xz,0.475368,0.475368,0.475368,0.475368,0.475368
1M,spec17,605.mcf_s-665B.champsimtrace.xz,0.367847,0.367338,0.367847,0.367847,0.367847
1M,spec17,605.mcf_s-782B.champsimtrace.xz,0.168696,0.168629,0.168696,0.168696,0.168696
1M,spec17,605.mcf_s-994B.champsimtrace.xz,0.656222,0.656222,0.656222,0.656222,0.656222
1M,spec17,607.cactuBSSN_s-2421B.champsimtrace.xz,1.38286,1.39082,1.37778,1.37403,1.38018
1M,spec17,607.cactuBSSN_s-3477B.champsimtrace.xz,1.33438,1.34714,1.33854,1.33217,1.33041
1M,spec17,607.cactuBSSN_s-4004B.champsimtrace.xz,1.35296,1.3565,1.35189,1.34446,1.3498
1M,spec17,619.lbm_s-2676B.champsimtrace.xz,0.549786,0.549786,0.549786,0.549786,0.549786
1M,spec17,619.lbm_s-2677B.champsimtrace.xz,0.450996,0.450996,0.450996,0.450996,0.450996
1M,spec17,619.lbm_s-3766B.champsimtrace.xz,0.925153,0.925346,0.925153,0.925153,0.925153
1M,spec17,619.lbm_s-4268B.champsimtrace.xz,0.433065,0.433065,0.433065,0.433065,0.433065
1M,spec17,620.omnetpp_s-141B.champsimtrace.xz,0.324263,0.323271,0.324026,0.322274,0.323443
1M,spec17,620.omnetpp_s-874B.champsimtrace.xz,0.35816,0.356187,0.358042,0.355893,0.357099
1M,spec17,621.wrf_s-6673B.champsimtrace.xz,0.572891,0.568744,0.572891,0.572891,0.572891
1M,spec17,621.wrf_s-8065B.champsimtrace.xz,0.245528,0.243221,0.245291,0.245277,0.245549
1M,spec17,623.xalancbmk_s-10B.champsimtrace.xz,0.234965,0.232802,0.234625,0.232158,0.234617
1M,spec17,623.xalancbmk_s-165B.champsimtrace.xz,0.448739,0.448675,0.448739,0.448739,0.448739
1M,spec17,623.xalancbmk_s-202B.champsimtrace.xz,0.367809,0.367805,0.367809,0.367809,0.367809
1M,spec17,628.pop2_s-17B.champsimtrace.xz,1.16679,0.806855,1.16264,1.07394,1.10035
1M,spec17,641.leela_s-1083B.champsimtrace.xz,0.786911,0.764156,0.786226,0.782588,0.786911
1M,spec17,649.fotonik3d_s-10881B.champsimtrace.xz,0.509508,0.509128,0.509508,0.509508,0.509508
1M,spec17,649.fotonik3d_s-1176B.champsimtrace.xz,0.921232,0.916348,0.921232,0.921232,0.921232
1M,spec17,649.fotonik3d_s-7084B.champsimtrace.xz,0.739436,0.739399,0.739436,0.739436,0.739436
1M,spec17,649.fotonik3d_s-8225B.champsimtrace.xz,0.918836,0.912657,0.918836,0.918836,0.918836
1M,spec17,654.roms_s-1007B.champsimtrace.xz,1.17672,1.17356,1.17672,1.17672,1.17672
1M,spec17,654.roms_s-1070B.champsimtrace.xz,0.689804,0.689804,0.689804,0.689804,0.689804
1M,spec17,654.roms_s-1390B.champsimtrace.xz,0.478228,0.478202,0.478228,0.478228,0.478228
1M,spec17,654.roms_s-1613B.champsimtrace.xz,1.45106,1.44671,1.45106,1.45106,1.45106
1M,spec17,654.roms_s-293B.champsimtrace.xz,1.61428,1.61081,1.61428,1.61428,1.61428
1M,spec17,654.roms_s-294B.champsimtrace.xz,0.865373,0.863436,0.865373,0.865373,0.865373
1M,spec17,654.roms_s-523B.champsimtrace.xz,0.597658,0.597563,0.597658,0.597658,0.597658
1M,spec17,657.xz_s-2302B.champsimtrace.xz,0.689201,0.683257,0.689201,0.689201,0.689201
gmean,gmean,gmean,0.5981106086526328,0.47406968556743767,0.5808307725255988,0.4907586736336208,0.5493976800735985
